study,condition,qualification
study interventions are albumin-bound paclitaxel, histologically confirmed adenocarcinoma of the stomach with inoperable locally advanced or recurrent and or metastatic disease,0
study interventions are everolimus, male breast cancer diagnosis and serum bilirubin equal_than less_than doc upper limit of normal uln equal_than less_than doc if gilbert syndrome,0
study interventions are cyclosporine, intraocular lymphoma diagnosis and there is likelihood of disease progression while hla typing and results of preliminary_search and the donor pool suggest that ten ten hla b drbone and dqbone matched unrelated donor will not be found,0
study interventions are cyclophosphamide, kidney cancer diagnosis and able to understand and sign the informed consent document,0
study interventions are prednisone, patient has confirmed diagnosis of previously untreated hodgkin lymphoma,0
study interventions are docetaxel, lung cancer diagnosis and radiotherapy,0
study interventions are thalidomide, brain neoplasms diagnosis and no expected need for radiotherapy to brain or any extracranial metastatic site during the period of participation in the study,0
study interventions are bevacizumab, anaplastic astrocytoma diagnosis and absolute neutrophil count anc greater_than one five hundred mmthree,0
"study interventions are antibodies, monoclonal", lymphoma non hodgkin diagnosis and these blood counts must be sustained without support of hematopoietic cytokines or transfusion of blood products,0
study interventions are cyclosporine, stage iii multiple myeloma diagnosis and sevenq,0
study interventions are interferons, melanoma skin diagnosis and no prior organ transplantation,0
study interventions are cyclophosphamide, small intestine lymphoma diagnosis and donor,0
"study interventions are antibodies, monoclonal", lymphoma diagnosis and must have measurable disease defined as at least one lesion that can be accurately measured in at least one dimension greater_than ten mm or in the case of waldenstrom macroglobulinemia the presence of an igm paraprotein level twox the upper limit of normal,0
study interventions are thalidomide, transformed recurrent non hodgkin lymphoma diagnosis and phase ii,0
study interventions are treosulfan, melanoma diagnosis and former history of brain cns metastases which have been treated successfully and are no longer visible in ct mri is allowed,0
study interventions are educational intervention, histologically confirmed stage or ii early endometrial carcinoma,0
study interventions are ketoconazole, adult solid neoplasm diagnosis and patients must have histologically confirmed malignancy that is metastatic or unresectable and for which there is no standard therapy,0
study interventions are gemcitabine, not pregnant or nursing fertile patients must use effective contraception no serious nonmalignant disease no active uncontrolled infection or bleeding active peptic ulcer disease no other primary malignancy within the past five years except nonmelanomatous skin cancer or carcinoma in situ of the cervix no allergy to cremophor,0
study interventions are bevacizumab, histologically confirmed adenocarcinoma of the breast,0
study interventions are paclitaxel, invasive breast cancer diagnosis and known axillary nodal status,0
study interventions are docetaxel, stomach neoplasms diagnosis and absolute neutrophil count greater_than doc ten nine l,0
study interventions are albumin-bound paclitaxel, lung cancer diagnosis and disease characteristics,0
study interventions are perifosine, unspecified adult solid tumor protocol specific diagnosis and no cataracts that would interfere with normal vision or require medical intervention,0
"study interventions are antibodies, bispecific", histologically confirmed diagnosis of epithelial ovarian cancer fallopian tube or primary peritoneal cancer f̩d̩ration internationale de gyn̩cologie et obst̩trique figo stage iib,0
study interventions are cyclophosphamide, breast cancer diagnosis and no concurrent warfarin or heparin therapy,0
study interventions are echinocandins, sarcoma diagnosis and patient characteristics,0
study interventions are immunoglobulins, lymphoma diagnosis and no prior autologous or allogeneic stem cell transplantation,0
study interventions are bevacizumab, neoplasms diagnosis and life expectancy greater than eight weeks,0
study interventions are cyclophosphamide, b cell non hodgkin lymphoma diagnosis and signed informed consent from patients and or their parents or legal guardians,0
study interventions are bevacizumab, liver cancer diagnosis and measurable target lesions are defined at baseline as lesions that can be accurately measured in at least one dimension longest diameter to be recorded greater_than equal_than twenty mm using conventional techniques ct or mri or greater_than equal_than ten mm using spiral ct scan,0
study interventions are immunoglobulin g, squamous cell carcinoma metastatic in the neck with occult primary diagnosis and no current peripheral neuropathy greater_than equal_than grade two at time of randomization,0
study interventions are melphalan, unspecified childhood solid tumor protocol specific diagnosis and not specified,0
